service,name,category,total_flows_study,median_weekly_share,first_week_seen,first_usable_week,last_usable_week,weeks_present,weeks_usable,zero_weeks,window_avg_w11_14,usable_w11_14,emerging_w11_14,dip_w11_14,gone_w11_14,first_usable_after_w11_14,window_avg_w24_27,usable_w24_27,emerging_w24_27,dip_w24_27,gone_w24_27,first_usable_after_w24_27,window_avg_w37_40,usable_w37_40,emerging_w37_40,dip_w37_40,gone_w37_40,first_usable_after_w37_40
google-www,Google Search & Maps,Search,10410447,0.02416965544294224,11.0,11.0,51.0,40,40,0,430144,True,False,False,False,18.0,278797,True,False,False,False,31.0,147273,True,False,False,False,44.0
mlp-search,MLP Search,Search,454133,0.0010779860211599852,11.0,11.0,51.0,40,40,0,14898,True,False,False,False,18.0,9954,True,False,False,False,31.0,10195,True,False,False,False,44.0
seznam-search,Seznam Search,Search,537968,0.0013083133749688131,11.0,11.0,51.0,40,40,0,16163,True,False,False,False,18.0,12766,True,False,False,False,31.0,15702,True,False,False,False,44.0
facebook-web,Facebook Web,Social,2169152,0.005579987487544986,11.0,11.0,51.0,40,40,0,82896,True,False,False,False,18.0,56839,True,False,False,False,31.0,54289,True,False,False,False,44.0
instagram,Instagram,Social,6285558,0.013739035575123314,11.0,11.0,51.0,40,40,0,207420,True,False,False,False,18.0,119848,True,False,False,False,31.0,226186,True,False,False,False,44.0
snapchat,Snapchat,Social,8978026,0.019540867865229385,11.0,11.0,51.0,40,40,0,418185,True,False,False,False,18.0,249639,True,False,False,False,31.0,220217,True,False,False,False,44.0
tiktok,TikTok,Social,13754255,0.02969753673644855,11.0,11.0,51.0,40,40,0,365795,True,False,False,False,18.0,271481,True,False,False,False,31.0,390150,True,False,False,False,44.0
tinder,Tinder,Social,487682,0.0011237193187955737,11.0,11.0,51.0,40,40,0,16719,True,False,False,False,18.0,8062,True,False,False,False,31.0,13368,True,False,False,False,44.0
twitter,Twitter,Social,5211102,0.012659893424944111,11.0,11.0,51.0,40,40,0,180398,True,False,False,False,18.0,118509,True,False,False,False,31.0,124600,True,False,False,False,44.0
adobe-updater,Adobe Updater,Software updates,350796,0.0008073254008598184,11.0,11.0,51.0,40,40,0,9812,True,False,False,False,18.0,7526,True,False,False,False,31.0,9011,True,False,False,False,44.0
apple-updates,Apple Updates,Software updates,1848996,0.004306217932762306,11.0,11.0,51.0,40,40,0,63439,True,False,False,False,18.0,50383,True,False,False,False,31.0,44704,True,False,False,False,44.0
docker-registry,Docker Registry,Software updates,781143,0.0017946085256470546,11.0,11.0,51.0,40,40,0,22227,True,False,False,False,18.0,19551,True,False,False,False,31.0,12644,True,False,False,False,44.0
microsoft-update,MS Windows Update,Software updates,10937883,0.02624645326556694,11.0,11.0,51.0,40,40,0,394236,True,False,False,False,18.0,308044,True,False,False,False,31.0,221478,True,False,False,False,44.0
npm-registry,NPM Registry,Software updates,463025,0.000995337581890232,11.0,11.0,49.0,40,36,0,17472,True,False,False,False,18.0,14859,True,False,False,False,31.0,7061,True,False,False,False,44.0
opera-autoupdate,Opera Autoupdate,Software updates,580495,0.0014273548139955212,11.0,11.0,51.0,40,37,0,18506,True,False,False,False,18.0,11053,True,False,False,False,31.0,12514,True,False,False,False,44.0
unpkg,Unpkg,Software updates,464818,0.001098265047986453,11.0,11.0,51.0,40,40,0,14408,True,False,False,False,18.0,9432,True,False,False,False,31.0,10806,True,False,False,False,44.0
google-hangouts,Google Hangouts/Meets,Videoconferencing,1335205,0.0027496269054194844,11.0,11.0,51.0,40,40,0,56645,True,False,False,False,18.0,40022,True,False,False,False,31.0,21974,True,False,False,False,44.0
skype,Skype,Videoconferencing,5928904,0.01610331475777846,11.0,11.0,51.0,40,40,0,239140,True,False,False,False,18.0,179982,True,False,False,False,31.0,92148,True,False,False,False,44.0
teams,MS Teams,Videoconferencing,10372061,0.023867348673394947,11.0,11.0,51.0,40,40,0,389692,True,False,False,False,18.0,213904,True,False,False,False,31.0,290172,True,False,False,False,44.0
webex,Webex,Videoconferencing,573061,0.0014135254940731581,11.0,11.0,51.0,40,40,0,16536,True,False,False,False,18.0,11507,True,False,False,False,31.0,15162,True,False,False,False,44.0
zoom,Zoom,Videoconferencing,608846,0.0015225576650808805,11.0,11.0,51.0,40,40,0,22390,True,False,False,False,18.0,11103,True,False,False,False,31.0,15222,True,False,False,False,44.0
apple-siri,Apple Siri,Virtual assistant,294928,0.00041432670572385275,11.0,11.0,49.0,40,13,0,26632,True,False,False,False,18.0,3191,False,False,True,False,41.0,4714,False,False,True,False,44.0
accuweather,AccuWeather,Weather,1370490,0.003320508969473191,11.0,11.0,51.0,40,40,0,45083,True,False,False,False,18.0,37311,True,False,False,False,31.0,19573,True,False,False,False,44.0
apple-weather,Apple Weather,Weather,1487045,0.0032631310931070384,11.0,11.0,51.0,40,40,0,55209,True,False,False,False,18.0,30288,True,False,False,False,31.0,62440,True,False,False,False,44.0
chmi,CHMI,Weather,1160420,0.002932064534469207,11.0,11.0,51.0,40,40,0,27114,True,False,False,False,18.0,34843,True,False,False,False,31.0,24573,True,False,False,False,44.0
microsoft-weather,MS Weather,Weather,424528,0.0010272814683944945,11.0,11.0,51.0,40,38,0,13235,True,False,False,False,18.0,9632,True,False,False,False,31.0,9684,True,False,False,False,44.0
opera-weather,Opera Weather,Weather,186925,8.142315625698758e-05,11.0,11.0,25.0,39,15,1,13037,True,False,False,False,18.0,4735,False,False,True,False,,1311,False,False,True,False,
the-weather-channel,The Weather Channel,Weather,379270,0.0009555670766303475,11.0,11.0,49.0,40,39,0,13096,True,False,False,False,18.0,9372,True,False,False,False,31.0,10764,True,False,False,False,44.0
cesnet-login,CESNET Login,Authentication,188809,0.00026264917894529304,11.0,13.0,46.0,40,13,0,4284,False,True,False,False,19.0,3775,False,False,True,False,31.0,1660,False,False,True,False,44.0
gitlab,Gitlab (3 providers),File sharing,193270,0.00036621399911242886,11.0,13.0,51.0,40,14,0,4538,False,True,False,False,42.0,2822,False,False,True,False,42.0,3032,False,False,True,False,44.0
cesnet-kalendar,CESNET Kalendar,Mail,355668,0.0008213059285595555,11.0,16.0,49.0,40,30,0,1774,False,True,False,False,18.0,26046,True,False,False,False,31.0,11519,True,False,False,False,44.0
font-awesome,Font Awesome,Media,384432,0.0008181608237778972,11.0,17.0,49.0,40,31,0,4320,False,True,False,False,20.0,7933,True,False,False,False,31.0,17274,True,False,False,False,44.0
amazon-alexa,Amazon Alexa,Virtual assistant,157705,0.00036217363311354946,11.0,18.0,49.0,40,5,0,3965,False,True,False,False,19.0,3284,False,False,True,False,,3692,False,False,True,False,
kb-ib,KB IB,Internet banking,128277,0.00032812816051250825,11.0,24.0,24.0,40,1,0,3444,False,False,False,False,,3613,False,False,False,False,,3073,False,False,True,False,
cesnet-perun,CESNET Perun,Information systems,40309,4.771735994283845e-05,11.0,34.0,34.0,40,1,0,503,False,True,False,False,34.0,402,False,True,False,False,34.0,557,False,False,True,False,
cesnet-filesender,CESNET Filesender,File sharing,56243,8.005556734493859e-05,11.0,39.0,48.0,40,2,0,1098,False,False,False,False,,1150,False,False,False,False,,2274,False,False,False,False,
redmine,"Redmine (CESNET, MFF UK, KIV ZCU)",Information systems,66079,9.696020575936984e-06,11.0,40.0,49.0,40,5,0,64,False,True,False,False,42.0,78,False,True,False,False,42.0,2678,False,True,False,False,44.0
uzis-ocko,UZIS OCKO,Information systems,57556,0.0001329317308218429,11.0,,,40,0,0,3208,False,False,False,False,,1117,False,False,False,False,,1100,False,False,False,False,
ctu-kosapi,CTU KOS API,Other APIs,15568,2.400135852697281e-05,11.0,,,40,0,0,514,False,False,False,False,,137,False,False,False,False,,661,False,False,False,False,
adobe-search,Adobe Universal Search,Search,7995,1.4743478250089776e-05,11.0,,,40,0,0,241,False,False,False,False,,88,False,False,False,False,,178,False,False,False,False,
vscode-update,VS Code Update,Software updates,47566,3.511126349332073e-05,11.0,,,40,0,0,3348,False,False,False,False,,630,False,False,False,False,,299,False,False,False,False,
