service,2022-W00,2022-W01,2022-W02,2022-W03,2022-W04,2022-W05,2022-W06,2022-W07,2022-W08,2022-W09,2022-W10,2022-W11,2022-W12,2022-W13,2022-W14,2022-W15,2022-W16,2022-W17,2022-W18,2022-W19,2022-W20,2022-W21,2022-W22,2022-W23,2022-W24,2022-W25,2022-W26,2022-W27,2022-W28,2022-W29,2022-W30,2022-W31,2022-W32,2022-W33,2022-W34,2022-W35,2022-W36,2022-W37,2022-W38,2022-W39,2022-W40,2022-W41,2022-W42,2022-W43,2022-W44,2022-W45,2022-W46,2022-W47,2022-W48,2022-W49,2022-W50,2022-W51,2022-W52
google-userlocation,915,5045,11539,10073,6027,7019,30208,35314,18389,32515,35452,31270,40820,43064,42396,23420,30505,43131,41837,41313,39956,33149,37706,34095,31999,34513,25394,18777,15361,14077,14021,13029,12871,11806,15258,14156,24131,21529,16714,14011,18564,18566,18702,16204,12706,19172,14601,19176,18804,18056,9540,8505,758
google-www,11268,74789,137792,125388,78935,90847,432027,547493,231229,365490,391028,343689,443888,469100,463899,261381,349472,470166,442811,411688,399183,329031,371949,340567,316546,341354,251257,206032,184352,169515,166222,167875,181229,150343,186475,167947,251587,222488,121599,106118,138886,143696,211082,208291,168586,245558,185557,247078,245402,223515,115823,105033,12507
grammarly,6738,46425,54858,70271,40885,51190,59546,75527,59242,88067,92012,86198,110852,112426,122628,106754,119049,135849,138822,137286,129734,133328,124392,126641,115555,116408,104002,84235,108370,107364,104762,103577,104984,105531,110273,92234,108115,124376,141766,141283,157251,162880,165610,148938,196134,154997,143800,153339,144405,142173,79641,91973,18455
hicloud-conncheck,745,6852,10146,5573,3122,4039,9878,10602,6674,10934,11265,9376,14075,14083,13986,10098,8372,14239,13874,11790,11924,8569,8903,8697,8877,7442,5208,3612,5646,4853,8364,12848,6146,7958,9493,17820,11400,7137,20495,14149,8662,8642,15306,2148,3921,871,6089,3620,613,16488,2983,1465,52
hicloud-logservice,907,9861,7053,6167,3814,4909,5858,8365,7240,10058,10364,9244,12791,13074,12050,9021,9835,10941,10591,9931,11437,10960,11929,8597,9789,15235,11211,5884,8304,7465,5850,2287,2106,2117,2328,2684,3347,4172,5387,4935,5670,5692,5820,4364,6079,6487,5303,6409,6083,4490,35,465,71
instagram,18327,139091,136557,156251,78418,117444,138304,183030,148491,194699,171346,180086,228417,223696,197481,62028,120513,157281,203914,160906,82418,59465,55467,61924,115423,173763,114820,75387,81775,78031,79541,73061,75411,74360,86946,108994,152104,179009,243801,227883,254049,306501,271670,207830,264660,260872,203819,258230,257301,238900,22474,27821,5806
kaspersky,10995,52652,50171,60902,35006,53533,56032,66362,52093,64488,60658,53184,62033,59562,60274,53285,52406,54891,55217,57156,54605,54560,53792,55910,56519,55536,46416,38481,46904,43029,41928,39014,38267,36515,34660,26366,31121,34504,36412,34426,37220,36327,35712,31967,35504,26696,29024,32714,32122,31386,19242,26766,7464
katastr-nahlizeni,93,992,955,1152,479,1405,1476,1617,1190,1569,1375,8161,2070,1877,1188,360,669,1737,2069,1930,1666,1553,1511,1511,1612,1759,1166,717,1340,1278,1267,1277,1370,1410,1223,1283,1315,1142,1252,977,1114,1199,1340,1016,6082,1185,846,987,863,686,255,381,99
kb-ib,157,1837,1954,2083,719,2777,3687,3310,2499,3689,3752,3357,4067,3742,2611,1303,1856,3948,4202,4884,4192,3863,4093,4446,5011,4122,3296,2024,3633,2624,2317,2358,2800,2726,2532,2662,3353,3512,2988,2579,3212,3955,3245,2508,3417,3956,2496,2850,2522,2936,1670,2079,399
king-games,5231,30668,28260,33482,19182,28318,39619,37566,27971,36605,37258,33576,40578,39773,40734,33551,36867,37760,37091,35322,32071,33223,31041,29936,28100,26482,20357,14788,19720,17993,16766,16817,19208,19003,19195,15184,20661,24264,27346,26300,29576,30506,32199,25707,31098,27216,25315,30174,29533,30224,15321,18872,4156
loggly,1067,15856,15284,18679,13088,14987,18164,20273,17877,27637,21333,19637,23256,21084,23327,17774,19879,22032,22251,22310,21825,22472,20753,21711,19574,19865,16697,8051,14674,13517,13356,13184,13577,14909,15237,14644,15934,17150,19842,17780,21326,18770,18174,14332,17858,17507,13436,17280,17360,17182,8220,13435,1993
malwarebytes-telemetry,354,13818,8244,21598,12567,4758,3229,3132,6535,13548,10643,8739,11027,11304,11436,9492,11834,12615,9506,14022,12633,16182,4109,3931,4604,3746,3189,2294,4559,4860,4993,4461,5431,4557,4789,4191,4205,6871,8209,7918,8998,9170,10351,6921,6963,6563,7669,6711,9006,8150,2460,3105,623
maps-cz,9195,74251,64562,83000,25574,100873,114139,145107,122456,159265,152061,146812,192693,192189,184305,151576,158565,187168,196581,193711,169741,159520,163620,154388,169218,167714,131462,83760,135230,131012,128325,123202,124992,126909,121403,130870,127158,139873,168838,165716,185190,180242,174862,144531,174791,174493,136765,155305,151574,144670,78653,80600,14190
mcafee-ccs,2592,16984,12235,11103,4982,9691,11555,17803,12792,14491,16490,14028,18766,12578,3151,3211,2814,3854,4029,1759,1317,2017,919,884,1157,821,618,663,417,643,492,394,489,649,772,1189,1094,1725,3067,2043,1468,1626,1737,2162,2458,3244,1703,2852,5670,6079,1327,5057,555
mcafee-gti,7974,56349,33764,15819,7983,13023,192982,225916,182427,275813,231662,240747,249423,300914,254135,222789,200868,284240,251199,274968,211380,235279,288894,283251,251487,297052,242221,309038,239128,245943,235032,244163,140232,207512,201612,218485,241268,228446,17926,21075,20112,20120,20985,18236,16061,23036,18328,23044,23929,21685,15282,16246,2537
microsoft-authentication,27120,129104,150357,190961,40368,253797,211848,234918,191039,247943,238735,305829,291248,285472,294784,241245,254257,293065,290169,279095,277447,294363,274181,252589,259485,246557,199596,136916,217363,185466,184747,209458,191204,193178,200851,224433,243312,265924,283560,258813,294546,307538,347493,250421,324397,325013,264862,314008,320571,316049,170308,223425,49302
microsoft-defender,13380,79225,66697,86828,26423,132206,142408,153612,130212,175379,176661,172143,216244,222637,219971,186753,185093,216532,225398,220787,212239,209444,243160,201781,209119,197594,177946,103578,157126,156563,158588,152368,149526,167109,177234,194132,217133,205162,229028,200339,231627,242751,236212,189414,241608,229524,197355,223180,177671,120171,61003,86526,19716
microsoft-diagnostic,50424,178863,158976,188429,47470,253334,271566,282092,221368,293393,288677,271908,313526,319030,317305,292394,301091,323371,312386,317713,307358,296915,304094,298820,313706,303902,247918,209190,249562,233972,234122,234922,236484,250469,255401,269411,283238,284024,303197,284203,292063,304333,302321,256360,311267,322589,276212,305962,306483,302699,192190,271062,73275
microsoft-onedrive,24616,105770,97000,98337,41310,111155,114319,131323,95880,117065,98038,79855,105581,117498,123686,112200,110304,119813,131504,130111,119037,105210,114627,132779,115893,116643,89755,84660,100111,84372,70681,82917,88940,93611,72910,91333,107036,111108,119205,121072,140926,138774,132460,112383,151285,151803,139139,131290,149388,118699,46959,102590,29639
microsoft-push,27012,83749,87658,83350,14880,62188,125483,187848,138343,198511,159644,91982,100606,137983,160862,164570,126840,141746,156760,147435,145297,116362,76304,69310,70104,91494,72540,41530,52341,58067,51107,43793,44068,62849,69563,87187,138488,153541,148925,123875,155817,141013,139849,88731,121896,129788,125053,128364,146392,128701,59759,77240,15440
microsoft-settings,35897,107914,141910,188599,45819,253946,261579,259092,217093,273166,284096,245032,296858,297838,300670,270954,294893,326562,310122,304791,288180,280469,279532,268091,288576,271527,228685,190829,228778,213351,219947,218579,214821,227040,234831,241442,244510,251410,272092,260901,270941,279083,277395,240506,283873,329410,283872,287381,290855,276823,152113,228458,51013
microsoft-update,38104,220932,218121,283088,103607,247953,216676,233182,228607,245073,239095,294331,415566,450752,416293,364504,386083,397617,383336,386113,365505,314579,351424,337234,337887,361810,305569,226908,212560,161196,147418,142463,143147,167031,187969,194807,195199,180489,200247,235300,269874,308728,306388,199432,244907,265943,212730,250156,223395,198455,163770,194538,53512
microsoft-weather,1694,10500,10374,11776,5628,10376,13176,13752,10570,13523,15173,12746,16421,13197,10577,4950,8395,12367,12781,11606,11078,12178,13092,12710,12077,13371,8143,4935,5465,6485,6617,6870,8039,9775,7872,6690,14785,5819,10884,8210,13825,15473,15484,12053,15070,13371,10581,12920,10040,7163,4672,10413,1841
mlp-search,1851,4559,7561,8078,1591,12622,13891,13454,10429,14315,18443,12250,15343,16155,15845,17747,16341,15520,16820,15423,12542,13742,9238,8467,9299,9982,11765,8772,7250,6588,7310,6910,7538,6270,6410,9509,10308,9914,10617,10399,9850,10272,11043,12831,14578,14285,13648,11446,12343,9235,5976,10328,3154
moodle,5741,19334,14936,12708,3226,10381,11069,16753,14550,17445,20431,17514,19081,22338,23631,20945,26281,24181,18431,17426,16488,15877,12448,9188,8367,7985,3601,2216,6436,6600,7546,8261,8206,9347,15422,16477,11523,15861,50698,27239,24058,25297,25021,16858,19368,17160,18759,19018,21961,21719,13532,12292,3528
mozilla-location,2067,11746,14580,15700,8497,12255,14504,16632,13583,19052,19808,16891,21409,19658,23191,17066,18464,22842,20953,19826,18375,18282,19860,16908,12260,12252,10298,7736,10704,12927,13267,12151,10895,10964,9667,9835,12092,12816,14076,14086,13352,12966,13309,13172,16020,13288,12039,15377,14766,12795,6590,6827,1509
mozilla-push,1207,10987,11945,13730,9226,11578,13016,15307,13631,23873,21762,15970,22316,20770,16234,17393,19843,25169,17989,15845,16003,16413,14799,15303,13296,12019,9672,5862,11443,12232,12743,12669,10931,11254,10269,11904,13190,15273,16784,14879,16362,15911,16610,14454,25161,25418,19243,21377,21593,17976,7881,11502,3021
mozilla-telemetry,978,10008,18719,15729,11126,11549,59461,81352,42061,56983,57690,44980,65201,68258,68024,38353,50443,68822,69827,69029,66944,53904,64965,57631,54066,60401,45759,40611,36519,31654,31359,32429,32058,27241,36875,33695,46973,43017,19627,21888,20435,30127,32828,29888,23814,34016,25080,34061,33156,30496,12721,15368,1628
mozilla-token,1654,9715,8140,7853,4766,6738,7354,8905,6673,8875,8315,7766,9871,10040,9552,7992,8546,10105,10596,10865,10349,10626,9811,10741,9020,8344,6820,5050,6273,6053,6262,6091,5964,6021,6445,5336,6616,8036,9319,9324,10126,9233,8433,8088,14991,9481,6028,1908,1953,1720,3027,2537,357
ndk,10820,26248,26223,29355,6360,38819,40218,46586,33226,40598,44085,37184,40509,48757,51039,46023,49988,51454,42912,34918,37149,40085,40714,41306,38286,35124,31397,33685,30354,25310,24790,26274,24853,27768,29163,23256,20854,17658,17644,25166,33070,43632,42207,36581,47117,44045,48164,42625,44266,39075,20874,21165,10760
netflix,1345,5302,5577,5358,10745,4358,23647,16897,19198,33656,32250,13457,11529,12119,14486,6289,23814,11332,14582,17752,10985,5652,6166,7644,26363,12177,6936,5201,8829,3559,6567,4882,6491,4288,4307,3836,10145,7323,10384,12183,13371,11541,9574,7924,13879,15021,7178,8770,9010,9669,3583,4317,694
npm-registry,1723,5688,6897,5601,903,5728,6148,7630,9829,15859,19152,13537,17610,19266,19476,18514,17670,20300,16739,15755,13485,12456,14199,18448,17727,16380,13277,12052,8832,5628,6323,6054,22794,9859,4529,4499,4717,5508,7260,6920,8557,8966,9749,7861,9703,8980,8690,8892,8536,8866,3276,4411,965
nvidiagfe-events,2227,15005,16032,18637,10204,14995,17093,22135,16149,21574,21709,18472,18092,21556,24796,24640,24036,28111,22489,23267,22554,21664,17642,16414,17835,13206,9404,7621,9438,9732,10812,9890,12169,9661,6937,4471,7605,10601,15058,16088,19122,23835,25912,22488,26280,21913,22423,27944,27970,26738,15159,14800,2556
nvidiagfe-services,2222,13125,11861,12956,7157,11047,12852,17005,12793,18625,18132,14485,17987,18459,18081,14197,16487,17675,17875,17257,15689,14519,14160,14540,13584,11602,8448,6758,10086,9903,10650,10259,10919,10900,11836,12439,14387,6923,3122,3170,3303,3761,4766,3936,4967,6119,5948,7369,7283,4883,3007,6784,1466
o2tv,23834,72126,70038,90904,21598,115614,220118,199214,137352,176064,136925,122859,139052,129551,124708,94894,110547,122846,123174,125926,133521,159344,92132,86532,86378,80277,70837,61957,65649,65657,66407,58709,57969,74135,69132,74801,82193,82649,100986,90092,104682,107456,100930,89054,104822,108863,87886,160147,132007,106841,65751,69718,22639
obalky-knih,3508,10061,11374,10867,3707,15624,17604,17100,16746,21417,14817,15656,21866,23641,21337,16233,20139,18706,21017,18448,18311,18336,18760,16919,15436,18132,20837,19872,16357,15645,16598,14053,14443,16202,16863,16719,17166,21362,14780,17869,18002,17765,23228,18068,22502,25076,19961,20395,28179,17518,14753,13532,5231
office365,25797,198440,174698,210810,78611,274075,294287,346435,277361,384253,362578,335826,439961,469488,459568,351928,397017,457325,479580,451790,440325,418239,401322,372852,380917,357114,281692,149953,249111,236006,232674,227689,224687,235431,262622,304962,329816,321702,379988,346930,415666,435946,456525,353694,474814,482587,380409,490651,496571,465280,197544,271910,45576
opera-autoupdate,1264,10581,5318,6782,4089,6322,10809,18126,19273,18191,19734,16041,19475,18979,19530,17040,17424,19124,20282,20341,19584,19145,19771,19331,17860,16489,5201,4661,7788,7938,6921,4511,5591,5064,4822,5387,6011,13791,17676,8486,10104,15463,17502,13718,17128,20587,23618,25387,24910,15522,10000,12292,1641
opera-sitecheck,1292,10376,4791,6357,3905,5008,8811,14896,13424,15938,15080,12157,17292,16736,14498,12746,12532,15615,15277,14602,13293,12907,12189,11530,10885,9396,3952,2274,6615,9660,9508,9549,12411,12723,9049,10911,12149,14392,18646,17922,16873,11447,11137,8990,11646,12049,6510,8311,8394,5763,3659,7698,950
opera-speeddial,1713,9218,5640,8211,5847,7753,12514,18878,12501,14885,14062,12165,16404,16518,16146,12300,13149,14877,14999,14084,13242,12874,11976,11470,10770,9674,4121,2743,6497,10115,10077,9846,12944,7850,5744,9895,6272,7309,17575,18777,12934,11336,10748,8763,11645,11565,8144,8253,7994,5594,4368,7556,1184
opera-weather,956,8277,3493,3407,2003,2405,3789,6216,9082,12577,12106,10133,13857,14258,13900,10403,11187,13060,12910,12270,11734,11712,11393,11228,10026,8145,744,25,51,61,60,66,87,53,75,93,237,768,1438,1447,1590,1678,835,154,211,170,107,162,435,162,0,0,0
outlook,26894,168365,153254,185267,70660,252325,258565,292408,228830,321769,271005,262879,335356,351441,336193,257877,282011,312239,331427,307208,270364,266876,268565,258876,274616,287398,242340,150634,222707,213345,207747,204469,193752,206592,225021,252622,259594,260888,303476,267807,292659,293753,297327,236569,311408,317706,259624,326828,328892,317351,113273,198876,36301
owncloud,2307,6642,6237,7509,2989,9011,7317,8226,7779,6424,14210,9710,10815,11927,8736,5792,18713,39348,21247,21588,20614,20236,20206,19364,13184,4530,4003,3840,6010,5492,6358,19673,23746,19630,19347,19319,36847,43553,65941,47409,44666,41610,39270,36531,39338,39073,38068,37994,26333,4884,3923,8281,1903
pubmatic,8957,116284,83730,103880,68065,84822,102022,122368,119340,169336,150285,132528,163468,158519,166068,123125,141551,164291,169121,159310,158610,161261,150489,173492,160600,152414,118104,68413,110112,102341,103715,95411,106693,100712,114567,115849,100644,114387,119319,103624,121010,122759,131105,114278,154824,160241,130562,164440,163445,135257,37305,116315,22807
r2d2,1432,13458,11431,13058,6271,16574,18401,19851,17454,27320,23228,21173,24586,24471,20132,11680,14384,21865,21853,21108,21482,21855,21230,20793,21016,19774,16464,11892,15589,14316,14858,14858,16755,17598,18828,17283,20802,17980,21214,19295,21192,19530,17503,14445,15418,16618,11873,14114,16072,15767,8904,12221,2323
rb-ib,812,7310,8907,11303,2732,14721,12361,11502,7216,11821,10602,8990,10942,10982,10926,9257,9812,11379,10285,10373,7872,9711,11086,11530,9192,6820,6681,4179,6609,4445,5939,7254,8645,5801,7147,7904,9233,10215,9701,6943,3269,4216,3954,2758,3974,11916,29034,24003,25513,28501,3615,5043,1081
redmine,12,58,45,67,27,66,193,37,50,150,50,64,64,65,61,47,81,92,53,64,89,99,57,66,73,66,96,79,86,77,79,48,98,69,106,75,82,87,88,3763,6775,6929,7070,6638,4652,3256,4366,4582,4594,6712,2949,4631,1709
riot-games,2268,14069,12681,13308,4454,9833,10427,19467,12011,25808,18774,14165,22605,29126,15353,15006,11536,17552,18586,29939,28333,40087,24343,48132,24167,29639,13092,8460,14281,8848,9096,7051,12805,7906,10884,8435,20082,21050,36788,30520,53903,32816,55693,25576,59751,30802,38863,28675,24762,44829,12438,12639,1787
rozhlas-api,2282,12881,11678,12845,3698,20045,19310,20741,14852,14409,9973,10010,14619,16208,11386,7755,10911,15965,14133,13194,13757,16933,16607,14974,19359,17794,12104,12126,11027,10576,7666,7248,7439,9992,12467,12214,22413,22177,23328,18253,23325,23090,23875,20225,24455,22737,22119,22393,23316,23925,13842,22770,5534
rubiconproject,12049,159658,131720,163246,110324,133789,160457,221709,196978,286096,252131,215884,258900,247851,243879,185909,196176,225034,221830,210779,210881,164887,152031,165508,156045,146636,111494,64140,111431,98444,101570,98677,105147,104771,117521,114216,117921,132840,144610,127696,154352,165198,167695,137714,186614,198543,139411,166128,165740,139566,49750,102193,18529
salesforce,5096,29215,25789,29154,17146,28881,29403,32145,26261,34266,30390,26416,34706,28324,36990,31736,34724,36939,37953,37129,38799,36208,36682,35715,31381,33295,25608,16122,24278,24291,24719,23351,25345,23349,22798,19320,22947,25900,27541,23761,27742,33984,33287,31489,36034,30422,28436,41737,34236,33084,16979,21220,5263
seznam-authentication,8663,97199,87156,104397,41768,130319,138749,150909,127418,189761,158485,147240,187531,179183,172036,126238,134813,159768,170678,210081,191602,189116,183117,170141,188752,200667,157751,81338,144761,137044,141781,127137,118814,126101,131413,142263,127690,123141,135137,113339,138004,137245,136433,105913,141511,139806,110497,138434,136121,132533,61351,87197,15527
seznam-email,5606,62738,55163,64515,24921,78025,78462,96431,74445,100451,92730,86826,111805,134742,153289,94413,92198,108008,109090,102156,85366,81489,81479,77052,85236,81233,67519,35459,59259,55024,54157,52797,53883,57363,61813,72826,76639,75464,87301,77835,95141,97637,100727,78353,107342,107422,84129,110013,110936,106333,49795,61750,8545
seznam-media,23527,136674,124020,175245,76667,219329,179295,205189,237313,402388,324998,280888,355271,329153,302067,229895,234384,273207,291184,284838,262178,259178,251276,230445,238781,253919,210509,114787,190276,187954,204343,195079,194623,204890,219433,227839,241795,244872,245519,204769,235382,249797,247612,199956,252136,262435,218391,262161,247137,249284,116853,178227,38806
seznam-notifications,3114,30893,27460,34420,13454,42842,46409,53228,52246,94668,64242,46178,57098,106998,54342,40197,42657,73710,92379,51941,47960,48692,43789,41175,44505,50055,37221,19853,34525,33375,33699,32519,31893,34021,36307,38421,39930,39977,42283,35722,41774,43294,45056,34509,45607,44043,34974,42969,42669,41962,19717,28108,5448
seznam-search,1187,9841,8867,11116,4454,15922,18234,18585,12789,16014,14572,13129,17329,17402,16792,13269,14046,16344,17182,15998,16092,15872,15374,14707,15631,15390,12367,7678,9919,9449,9530,8675,8726,9311,8722,9023,14463,20456,14953,8685,18713,14627,14308,10811,15144,15325,12215,12328,14802,14410,5502,8771,2214
seznam-ssp,6740,62928,56343,69632,22191,96007,100278,106297,91873,139129,115541,102876,126107,128117,123425,97166,97899,113957,116179,113780,111958,115996,111229,105304,109409,103764,84900,47194,80819,77198,80678,76739,77267,82083,88331,94610,95802,93192,98152,81124,92212,95960,94052,72632,96775,94502,75098,91141,90424,89350,47344,72918,14722
signageos,4654,11982,10264,8357,3202,9234,24522,16392,25670,44192,41082,21833,22437,22661,17989,19349,21166,20332,18988,17431,16537,10010,7253,4265,9174,8307,8111,8608,7789,5902,5874,5904,5931,6098,6109,5551,4914,761,516,5819,2381,2427,2969,4538,11748,9682,21891,7793,6224,3757,6006,8337,2587
skype,29818,156707,149434,177339,69975,188153,193626,230015,173609,220705,206756,198264,250645,261968,245684,187928,204233,205086,224070,219941,205532,195756,186587,187973,203013,212661,174062,130190,152662,127209,114899,118843,122156,131777,125671,141889,142477,99615,94568,87529,86878,88064,93361,78776,107513,95380,79667,95654,97386,91192,42974,62145,15218
slack,1504,9008,6045,5105,2201,8328,20970,11413,13832,23350,18012,11105,17239,18039,15664,11215,11276,14693,14327,12325,14149,10820,6492,5891,5692,6038,4439,2300,5624,5809,5790,6562,5075,6570,6331,5660,6744,7439,9919,7835,9205,11116,10533,8398,12667,11167,8353,10637,10552,8274,3032,2803,354
snapchat,3774,45808,107020,82124,46964,46362,236386,357461,168766,420695,400857,288844,444013,473268,466616,115957,323814,474605,401705,407590,390867,291062,399544,327158,300002,353303,220862,124389,37841,36689,42781,30475,29434,27960,34639,48359,216999,317919,174563,187806,200579,212470,211702,159246,172686,213836,150131,207477,191920,185160,85178,83755,2855
soundcloud,1712,12238,7678,6594,3338,8341,9650,11884,11366,18909,18451,11403,9478,11868,10550,9460,9779,10210,12780,10955,9291,9558,10863,10632,11221,11486,7091,5468,6615,6529,7354,6628,5107,6614,6023,4261,4993,7163,6610,7902,9254,10384,8225,7321,9946,8582,7912,8135,8828,9837,4513,4610,1045
spotify,15369,111279,123868,121854,66224,89891,214160,307114,203393,324983,346523,312831,397814,417377,402969,199169,267682,343087,353426,342840,306072,248143,277841,249220,244451,258550,169924,120301,107488,101702,99611,94446,92958,99127,103924,107118,144094,142189,121606,139726,134740,146582,147761,118111,100408,146737,115511,149563,160024,135395,67844,46324,3458
steam,3352,13808,15106,18363,5488,19134,27446,25539,19540,23737,26692,23980,28956,28623,23537,15717,20650,24617,25386,23923,22292,21035,21188,21077,21894,22356,16052,12491,11202,10576,10653,10405,10972,13794,12631,11957,13804,15635,19946,20251,21875,20418,23030,19427,24473,25820,31814,40212,26818,21055,11270,14330,3504
sukl-api,3324,11380,10746,12564,3607,17958,17241,16873,14672,20377,21936,16757,18092,19117,18260,17646,17918,19217,19572,23278,18169,18851,18860,17654,19089,15925,14181,14356,15996,13974,13255,14816,11917,12322,17353,16184,12446,12680,12667,13667,11567,12674,12360,11564,12950,12273,15168,19308,18709,12761,7768,13483,3269
sukl-authentication,2244,6615,7183,6200,1308,7722,7891,7770,7582,9791,10981,11714,12622,12551,11896,11537,8436,11935,14004,10217,9142,7891,8232,7991,1497,5548,11260,8058,7309,6811,7247,7303,7108,7959,8048,8381,7855,7733,7700,7742,7263,7440,7669,6965,7647,7514,7805,7320,6873,6617,4454,6957,2077
sukl-erecept,481,12679,11497,15423,5729,21075,22524,22263,17303,23761,21507,20816,26540,25184,24512,21723,21890,26320,28568,26078,26989,28078,28888,26556,30341,31571,29223,14901,26952,26917,25335,23332,24689,25911,26072,27968,27678,27801,29298,23558,29419,29135,29059,24439,31760,30031,25243,32961,34477,32483,12099,28160,5943
sumava-camdata,29,49369,10506,7823,902,8703,17841,10426,2187,4994,5967,15327,4359,9273,22676,159,14912,5819,8338,39360,2201,4743,2423,158,83,8,194,180,461,3,132,33,20,46,143,132,18194,13871,11397,862,542,6552,5070,4045,4769,2353,342,1139,12552,17443,7881,29453,121
super-media,2230,21307,18780,23210,8872,29905,30574,33760,26698,36938,33182,31225,40010,40010,37267,28665,29933,35046,38600,34524,32463,33098,31857,30312,32989,35026,27242,15673,25090,24776,24047,22240,22867,23634,25545,27115,28568,28493,29412,23226,27934,28643,26580,21746,28351,27941,22176,27445,28919,28298,13229,19848,3872
teams,34102,195245,170186,207467,63559,275389,294314,339601,246276,379185,365289,320768,416785,420458,400756,315672,340402,383951,393552,369547,346170,314144,290588,268591,271322,260569,203352,120374,170735,166652,167140,161757,158809,171246,181176,205298,221820,236236,294609,291844,338000,345515,256300,161601,207870,211389,172616,237704,220519,225477,114054,130747,33166
teamviewer-client,1555,5643,7584,7523,1797,10747,9393,11264,8120,10303,10191,10005,11355,11995,11686,10434,10412,11374,12392,10826,9855,10249,9938,10280,10906,10200,9140,7721,5941,5811,5701,5823,5388,5764,5973,6211,6243,6113,6412,6099,6224,6127,6086,5316,6308,6245,7284,8838,9450,8912,3807,5660,1667
the-weather-channel,1578,9298,7058,7086,3101,7610,9554,12397,8987,13391,12836,10568,14813,15225,11778,5427,8719,12406,13920,11792,10736,9897,10057,9886,10796,11922,8960,5808,6665,6983,7721,7030,6935,7429,8264,7894,8953,10114,12322,10011,10611,11110,11134,8345,10377,9967,7688,8690,7661,5703,3291,4953,882
thunderbird-telemetry,614,15065,10758,6655,4003,4344,5707,7878,7461,15394,11091,6200,8270,8027,8571,7104,7132,9588,5489,4571,7055,4777,4088,4562,3596,3508,3163,1476,2146,1536,1498,1516,1585,1447,1608,1899,2180,2835,2188,1937,2957,3000,3035,2654,3916,5222,2808,4109,4939,5540,1683,4542,686
tiktok,24588,155313,151456,197065,87308,174471,214153,277330,217265,354171,352983,297921,394067,390423,380768,265777,348084,396797,407311,380495,371955,361994,373430,358149,339795,342665,244408,159055,226161,206091,174502,205481,243584,155960,209105,246383,262517,317543,404862,411369,426828,468802,480299,376957,480763,499448,420883,496518,504345,436626,208050,286134,48636
tinder,2705,9828,8804,8551,4453,9574,11869,17663,12766,15345,17034,14533,16647,17679,18018,11974,14976,15557,15185,14067,12836,12573,11378,11454,10309,10077,6730,5131,5928,6145,5651,5672,5280,6133,7127,7055,10124,11015,14042,14306,14108,16447,16284,14689,19121,16937,14958,18701,15971,15365,6640,7499,1395
twitch,7604,50150,52517,55495,26103,47739,51434,70410,61640,69038,62016,55250,70456,66435,71235,39079,52366,55982,60097,55954,49297,38944,37471,37323,40303,40134,26834,22791,25508,23484,21871,21303,23085,21751,24583,22205,26532,33669,44821,47201,45829,47894,51844,45012,60648,63160,46081,50968,50717,49871,19609,18926,3398
twitter,12101,106412,102668,108285,67921,97021,103927,133240,162896,253226,190762,161076,191885,185990,182641,134776,154111,177523,177561,171592,160694,156070,152517,159448,152335,138404,111435,71862,102630,99763,102401,98632,105099,97104,100599,107420,122127,116660,130126,121034,130581,127483,127622,98410,124094,140131,107427,135115,129403,90571,16306,56750,9627
ulozto,1561,10374,7920,7050,2838,6644,9878,13458,7128,9381,11018,9421,11724,12394,12002,8248,9074,11103,10780,9155,10104,8841,8179,8626,6525,6168,4457,3443,5381,5257,5547,4931,5452,7791,12387,7491,14643,16104,14764,12831,9150,8702,8700,7354,4883,7712,5759,6447,6948,6245,3012,3596,339
unity-games,1152,6599,16937,18211,10564,11842,48397,71667,38502,60088,56014,48137,70666,75953,76221,34771,54129,75189,72384,70907,75791,60962,74842,70613,67926,76455,46111,28213,27591,27950,28504,33055,26666,23655,28879,27215,56380,49291,40820,50497,49723,56498,62139,53295,42904,59653,41919,58550,58264,52474,17744,17427,1924
unpkg,1325,10344,8763,9874,2512,11938,11860,14008,10671,13991,13162,11969,14960,15288,15413,16958,12975,15358,14336,14268,13744,13809,13459,12478,12536,11794,8204,5196,8457,7868,7500,7339,7529,7811,8093,8127,9074,10274,10910,10516,11522,12712,12986,10180,13681,14157,11447,14826,14044,14736,5199,8284,1453
uschovna,289,4131,2942,4095,1671,5629,6451,10638,5694,6640,8346,8813,9121,9421,7370,6374,5850,10185,11052,10535,10382,9032,8637,9842,10579,10880,8458,7749,5643,5443,5307,5063,5235,5599,6817,5919,5984,5985,8821,6747,22273,8385,11305,7610,9824,10039,7632,10079,10705,10320,2352,3678,269
uzis-api,2874,13327,12591,13000,3297,21119,18764,16888,13611,15100,15206,14173,14965,15638,17452,13841,13947,14597,17122,17411,13795,13741,13313,12589,13323,9511,6918,6808,7742,7596,7243,6897,6320,5971,3928,4619,4031,4402,4920,4663,5503,3338,4613,4300,2993,4857,5192,3579,3297,2203,1248,1259,294
uzis-ocko,576,6717,5290,6906,1878,8059,6488,7501,4183,4470,3769,2953,3342,3428,3108,2379,2205,2238,2258,2039,1783,1625,1514,1314,1234,1199,1243,791,1351,1494,1363,1110,958,1122,1069,945,891,1011,1072,1029,1287,1495,1148,1136,918,766,645,681,604,505,233,303,63
